sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Drainage maintenance,Rp/ps-d,60000,60000,hok,,2500,5000,7500,10000,12500,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Hole Prep.,Rp/ps-d,60000,60000,hok,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Cover crop planting,Rp/ps-d,60000,60000,hok,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Cover crop care,Rp/ps-d,60000,60000,hok,6000,6000,6000,6000,6000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,cover crop fertilizing,Rp/ps-d,60000,60000,hok,3500,7000,10500,14000,17500,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Install ajir,Rp/ps-d,60000,60000,hok,2000,2000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Palm oil Planting,Rp/ps-d,60000,60000,hok,7500,7500,7500,7500,7500,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,palm oil enrichment,Rp/ps-d,60000,60000,hok,0,500,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,palm oil care,Rp/ps-d,60000,60000,hok,0,3000,6000,9000,12000,15000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,palm oil prunning,Rp/ps-d,60000,60000,hok,0,0,2500,5000,7500,10000,12500,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,castration,Rp/ps-d,60000,60000,hok,0,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,2nd prunning,Rp/ps-d,60000,60000,hok,0,0,0,2000,4000,6000,8000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,pests and desease control,Rp/ps-d,60000,60000,hok,2500,5000,7500,10000,12500,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,harvesting,Rp/ps-d,90000,90000,hok,0,0,0,5500,20500,40500,65500,93000,122000,146500,161500,171500,176500,179000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000
,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,transporting FFB to mill,Rp/ton,0,0,hok,,,,6335.967262,10821.70351,19247.37907,27755.28707,35743.35265,43841.90439,47929.1575,52789.77985,54809.56313,58369.77958,61927.93749,63868.23929,63115.96709,62507.77903,60800.49072,57470.5368,54009.21447,51364.25603,51886.26569,51789.43011,51051.25958,50313.08905,49574.91851,49149.24295,48641.33495,48000,48000
