no,sut,nama_komoditas,prov,wilayah,tahun_analisis,tipe_lahan,lokasi,tipe_landuse,sampingan,siklus tanam
85,AGROFORESTRI,SENGON AF,JAWA TENGAH,PURBALINGGA,2016,MINERAL,PURBALINGGA,KEBUN,,
86,MONOKULTUR,JAGUNG,JAWA TENGAH,PURBALINGGA,2016,MINERAL,PURBALINGGA,KEBUN,,
87,MONOKULTUR,PADI IRIGASI,JAWA TENGAH,PURBALINGGA,2016,MINERAL,PURBALINGGA,SAWAH,2 MUSIM,
88,AGROFORESTRI,COKLAT AF,JAWA TENGAH,BANYUMAS,2016,MINERAL,BANYUMAS,KEBUN,,
89,AGROFORESTRI,JATI AF,JAWA TENGAH,BANYUMAS,2016,MINERAL,BANYUMAS,KEBUN,,
90,AGROFORESTRI,KEBUN CAMPUR AF,JAWA TENGAH,BANYUMAS,2016,MINERAL,BANYUMAS,KEBUN,,
91,MONOKULTUR,JAGUNG,JAWA TENGAH,BANYUMAS,2016,MINERAL,BANYUMAS,KEBUN,,
92,MONOKULTUR,PADI IRIGASI,JAWA TENGAH,BANYUMAS,2016,MINERAL,BANYUMAS,SAWAH,2 MUSIM,
93,AGROFORESTRI,KEBUN CAMPUR AF,JAWA TENGAH,BANJARNEGARA,2016,MINERAL,BANJARNEGARA,KEBUN,,
94,AGROFORESTRI,KOPI AF,JAWA TENGAH,BANJARNEGARA,2016,MINERAL,BANJARNEGARA,KEBUN,,
95,AGROFORESTRI,SALAK AF,JAWA TENGAH,BANJARNEGARA,2016,MINERAL,BANJARNEGARA,KEBUN,,
96,MONOKULTUR,JAGUNG,JAWA TENGAH,BANJARNEGARA,2016,MINERAL,BANJARNEGARA,KEBUN,,
97,MONOKULTUR,KENTANG,JAWA TENGAH,BANJARNEGARA,2016,MINERAL,BANJARNEGARA,KEBUN,,
98,MONOKULTUR,PADI IRIGASI,JAWA TENGAH,BANJARNEGARA,2016,MINERAL,BANJARNEGARA,SAWAH,2 MUSIM,
99,MONOKULTUR,TEH,JAWA TENGAH,BANJARNEGARA,2016,MINERAL,BANJARNEGARA,KEBUN,,
100,AGROFORESTRI,KARET AF,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
101,MONOKULTUR,JAGUNG,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
102,MONOKULTUR,KARET,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
103,MONOKULTUR,KELAPA SAWIT LARGE SCALE,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
104,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
105,MONOKULTUR,KELAPA,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
106,AGROFORESTRI,KELAPA AF COKLAT,GORONTALO,GORONTALO,2014,MINERAL,POHUWATU,KEBUN,COKLAT,
107,AGROFORESTRI,KELAPA AF JAGUNG,GORONTALO,GORONTALO,2014,MINERAL,POHUWATU,KEBUN,JAGUNG,
108,AGROFORESTRI,KEMIRI AF,GORONTALO,GORONTALO,2014,MINERAL,GORONTALO,KEBUN,,
109,AGROFORESTRI,LOGGING AF,GORONTALO,GORONTALO,2014,MINERAL,GORONTALO,KEBUN,,
110,MONOKULTUR,CENGKEH,GORONTALO,GORONTALO,2014,MINERAL,GORONTALO,KEBUN,,
111,MONOKULTUR,JAGUNG,GORONTALO,GORONTALO,2014,MINERAL,POHUWATU,KEBUN,,
112,MONOKULTUR,JATI,GORONTALO,GORONTALO,2014,MINERAL,GORONTALO,KEBUN,,
113,MONOKULTUR,KELAPA SAWIT,GORONTALO,GORONTALO,2014,MINERAL,POHUWATU,KEBUN,,
114,MONOKULTUR,KELAPA,GORONTALO,GORONTALO,2014,MINERAL,POHUWATU,KEBUN,,
115,MONOKULTUR,PADI,GORONTALO,GORONTALO,2014,MINERAL,GORONTALO,SAWAH,,
116,MONOKULTUR,JAGUNG,PAPUA,MERAUKE,2014,MINERAL,MERAUKE,KEBUN,,
117,MONOKULTUR,KARET,PAPUA,MERAUKE,2014,MINERAL,MERAUKE,KEBUN,padi,
118,MONOKULTUR,KELAPA SAWIT,PAPUA,MERAUKE,2014,MINERAL,MERAUKE,KEBUN,,
119,MONOKULTUR,KELAPA,PAPUA,MERAUKE,2014,MINERAL,MERAUKE,KEBUN,,
120,MONOKULTUR,PADI,PAPUA,MERAUKE,2014,MINERAL,MERAUKE,SAWAH,,
121,AGROFORESTRI,KARET AF,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
122,MONOKULTUR,JAGUNG,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
123,MONOKULTUR,KARET,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
124,MONOKULTUR,KELAPA SAWIT LARGE SCALE,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
125,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
126,MONOKULTUR,PADI,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,SAWAH,,
127,AGROFORESTRI,KARET AF PADI BUAH,SUMATERA SELATAN,MUSI RAWAS,2014,MINERAL,MUSI RAWAS,KEBUN,PADI BUAH CAMPURAN,
128,AGROFORESTRI,KARET AF PADI KOPI,SUMATERA SELATAN,MUSI RAWAS,2014,MINERAL,MUSI RAWAS,KEBUN,PADI KOPI,
